Corr_Row,Corr_Column,Correlation
Age,Age,1
Height,Age,0.039879419
Weight,Age,-0.018590495
NumberOfMajorSurgeries,Age,0.429181489
PremiumPrice,Age,0.697539966
Age,Height,0.039879419
Height,Height,1
Weight,Height,0.066945661
NumberOfMajorSurgeries,Height,0.03728857
PremiumPrice,Height,0.026909514
Age,Weight,-0.018590495
Height,Weight,0.066945661
Weight,Weight,1
NumberOfMajorSurgeries,Weight,-0.006108025
PremiumPrice,Weight,0.141507405
Age,NumberOfMajorSurgeries,0.429181489
Height,NumberOfMajorSurgeries,0.03728857
Weight,NumberOfMajorSurgeries,-0.006108025
NumberOfMajorSurgeries,NumberOfMajorSurgeries,1
PremiumPrice,NumberOfMajorSurgeries,0.264249529
Age,PremiumPrice,0.697539966
Height,PremiumPrice,0.026909514
Weight,PremiumPrice,0.141507405
NumberOfMajorSurgeries,PremiumPrice,0.264249529
PremiumPrice,PremiumPrice,1
